thesis,evaluation,argumentativeness,cola,sas
"Um, well look at the expense sheet, and uh it turned to be quite a lot expensive to have open up and have lots of buttons and stuff inside,",0.4361063,0.03731642,False,0.5318666392934902
"Actually had a cable between it and the T_V_ and big like buttons that sort of like, like on a blender or something.",0.48646078,-0.020929733,False,0.43519682417588756
"Well right away I'm wondering if there's um th th uh, like with D_V_D_ players, if there are zones.",0.35067028,0.0019335872,False,0.403154329139289
"To s to say okay go off and don't talk to each other, it's actually p sort of predisposes you to quite the contrary of teamwork.",0.43112883,0.010597412,False,0.5670444816053227
"It's more more just that we we think about like what it is we're trying to achieve, so and then we have one one sorta theme that we stick with.",0.55756843,0.092147864,False,0.4498132970586583
"Well that's the thing, I'm I'm not sure um uh th because on the the company website, uh what does it say",0.37204394,0.032234862,False,0.47590092932146094
so you're gonna have um audio which is gonna be like you know your bass settings and actual volume hi,0.5033544,0.0027252375,False,0.5121130960381313
"Uh basically what I wanna do here, before we get into it uh too far, is I want to show you all the background information I have that I think we need to acknowledge if we want this to be successful.",0.493508,0.085823074,True,0.4523847440748441
"Well I mean I'm thinking that what we need to do is have something that kind of unifies a lot of the different concepts,",0.54955256,0.16512632,True,0.5640180578510926
"But unless the controller's gonna consume a lot of batteries, like he's gonna run through like twenty batteries a month,",0.4885016,0.074979365,False,0.5864800640637715
"I mean you say you wanted the the corporate colours, but they don't say you know if we can use any other colours at all or",0.640934,0.08161492,False,0.4533292209578009
"say you wanna pick up the phone, there's a mute button, right, so you you have you have a choice of putting it on to um others or a device.",0.4434537,0.04918442,False,0.5038953027250017
"If we could just go up to somebody outside the meeting and have a quick talk with them, that would've been a lot easier.",0.57994616,0.03321344,True,0.5707967549329662
"It doesn't tell you, you know, some ways that you might wanna be a bit more creative in terms of the process you know, not the",0.4594636,0.012287217,False,0.42912354300576416
"I think structure is probably what you're saying that, each individual is structured to one particular task, and one parti rather than controlling.",0.46070147,0.077299185,False,0.5193897244340296
"We have the option of the speaker as well the sa the same thing goes for the speaker, is there a need for the remote control to to talk back?",0.44983846,0.026800966,False,0.5514526316915707
