thesis,evaluation,argumentativeness,cola,sas
Uh and also think maybe a little bit about sorta w w what would just wanna be acc easily accessible.,0.4210876,0.083663344,False,0.5264522330976245
"and also t plastic I've seen can get really textured, so you can get plastics that actually feel soft in your hand.",0.4704348,0.015696218,False,0.4985974004313098
"I mean you say you wanted the the corporate colours, but they don't say you know if we can use any other colours at all or",0.640934,0.08161492,False,0.4533292209578009
We're saying well we want this to be a product that offers all the sort of more tricky features but we want them to be in another area?,0.524779,0.10502212,True,0.5786560252043693
"Well I mean I'm thinking that what we need to do is have something that kind of unifies a lot of the different concepts,",0.54955256,0.16512632,True,0.5640180578510926
"Um I guess I try to define like what we're doing now, try to define what we're trying to get done.",0.48891386,0.10925859,False,0.42942429040377644
"And o on the topic of the technology, it just occurred to me that we actually didn't need to move our computers because each computer has all of the files.",0.46665126,0.091397434,False,0.5114403317268226
"'Cause like you say, it's something you can put your hands on and feel and touch and get a sense for.",0.48885807,0.03285364,True,0.4923893639868054
"Um, what else, uh So don't need to worry about teletext, don't need to worry about V_C_R_, uh any kind of like display controls at all do you think we need to worry about,",0.47842875,0.076050885,False,0.5138224539466116
"To s to say okay go off and don't talk to each other, it's actually p sort of predisposes you to quite the contrary of teamwork.",0.43112883,0.010597412,False,0.5670444816053227
I think it means um I think it means did you feel you were able to give creative input so,0.3964088,-0.036285907,True,0.4635190640938728
So maybe one of the things we can just try and include is a really good battery.,0.52339023,0.06967618,True,0.5563711846403038
"Um so yeah, I guess just things to think about are you know like the fact it's gotta look good, because of who we're we're, you know, targeting this at.",0.47512642,0.099913366,False,0.4731444118385242
so you're gonna have um audio which is gonna be like you know your bass settings and actual volume hi,0.5033544,0.0027252375,False,0.5121130960381313
"'Kay I'm I'm listening I'm just trying to incorporate the logo into the the thing, so I'm playing with the Play-Doh as well.",0.4566022,-0.0019726502,False,0.48018508806464794
"Um, were gonna have the volume control here, but um because we've got the the L_C_D_ and the jog-dial we just thought we'd um use that as the volume.",0.5813266,0.011334368,False,0.4918601856073663
